CL,Descriptive_JobTitle,skills,primary skills,business_type,req_type,priority,Rec_Status,req_category,HSU,Assigned_HSU,rec_city,positions,Unresponded_Pos_Opcl,Unresponded_Pos_Hold,rejections,max submission,submissions,hits,hires,Sourced,Rec_location,Metro_Area,Total_starts,Total_hires,Total_perm_hires,Total_perm_starts,BD,CLis_missing,Descriptive_JobTitleis_missing,skillsis_missing,primary skillsis_missing,business_typeis_missing,req_typeis_missing,priorityis_missing,Rec_Statusis_missing,req_categoryis_missing,HSUis_missing,Assigned_HSUis_missing,rec_cityis_missing,Rec_locationis_missing,Metro_Areais_missing,Actual_billrate,predicted_billrate
4,543,2797,1416,2,1,8,3,1,4,2,109,1,0,0,0,2,2,0,0,2,17,173,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,86.69,104.7257
2,4017,6292,162,2,4,4,4,1,17,1,33,1,0,1,0,2,0,0,0,0,50,11,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,67.8194
4,2520,16542,1277,2,7,2,3,1,12,1,498,1,0,0,3,5,5,3,1,7,54,161,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90.63,69.15420000000003
4,6072,1133,580,2,1,2,3,1,6,2,145,2,0,0,1,4,2,1,1,2,10,49,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,97.8946
4,376,10291,577,2,7,2,1,1,9,1,43,1,0,0,0,2,9,2,0,9,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70.0,83.1788
4,7384,16770,1180,2,4,1,1,1,14,2,413,1,0,0,0,2,6,2,0,11,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,111.3,97.9524
4,12,7978,163,2,7,2,1,1,12,1,413,1,0,0,0,2,2,0,0,0,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.56,89.2208
4,5152,11981,81,2,1,2,1,1,14,2,102,1,0,0,0,2,1,0,0,2,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105.0,98.5277
4,1890,7145,743,3,1,5,5,1,4,2,33,4,0,0,6,2,37,13,2,40,50,11,3,2,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125.0,96.723
4,1325,9973,1447,2,4,6,1,1,8,2,43,1,0,0,0,2,6,0,0,1,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,86.6284
